#id	name	introduce	animation	ending(0非结局，1000结局id)	tmp
1	水	一切生命的起源。	water	0	
2	火	燃烧吧，我的小宇宙！	fire	0	
3	石头	又硬又大。	rock	0	
4	树枝	待我开花结果，护佑生命的起源。	wood	0	
5	青蛙	又该去旅行了吧，我的公主，等着我。	frog	0	12
6	史莱姆	软体怪物的形状是善变的。	slime	0	14
7	虫子	我即是虫群！	bug	0	
8	肉球	我几次差点被当做包子吃掉，可怕！	meatBall	0	10
9	大象	看我粗我长我自豪！	elephant	0	11
10	蛇	嘶！嘶！让人恐惧的存在！	snake	0	15
11	毛球	毛多并不可耻，摸起来手感还是不错的。	fruit	0	
12	毛怪	我的刘海都快遮住眼睛了，谁来帮我剪剪。	fluff	0	
13	男人	荷尔蒙太丰盛会导致我的毛长得有点快。	man	0	13
14	女人	有个全身是毛的家伙总是盯着我看，恶心！	woman	0	
15	鲍鱼	我的作用绝不只是滋阴补肾。	shell	0	
16	单身狗	找我有事吗？	doge	1009	
17	草	请不要这样叫我，我的名字叫青草或是小草！	grass	0	
18	鱼	我有个想要变美的想法！	fish	0	
19	美人鱼	听说找到真爱，我就会长出脚来。	mermaid	0	
20	鱼人	哇啦啦啦啦！	murloc	0	
21	抱脸虫	唔唔唔………………	suck	0	
22	异形	Blooooooooooood!	alien	0	
23	蘑菇	再没有比我更纯洁的蓝瘦香菇了。	mushroom	0	
24	蜥蜴	妈的！天赋点错了！	lizard	0	
25	匹诺曹	说谎鼻子就变长，好苦恼，直到遇见了她！	pinocchio	0	
26	椰子	虽然壳很坚硬，但里面鲜肉多汁。	coconut	0	
27	泥土	传说上帝用我造了人……狗屁！根本就不是这么回事。	earth	0	
28	羊驼	知道我多值钱吗？	caonima	0	
29	骷髅女	圣诞夜惊魂里我还是很受欢迎的！	skeleton	1000	
30	娜迦	都是那个伊利丹把我们给坑了！	naga	1001	
31	鱼肉汤	我恨我选了上半身……	soup	1002	
32	小孩	我笑得就像个两百斤的胖子！	kid	1003	
33	美杜莎	不要害羞，让我好好看看你！	medusa	1004	
34	小王子	听说我生下来头上就有个十公斤的皇冠。	prince	1005	
35	雄火龙	莽汉别跑，看老子烧不死你！	fireDragon	1006	
36	金属	钢铁是怎样炼成的？	metal	0	
37	火剑	我属于一堆余烬。	sword	0	
38	营火	少年，传火吗？	bonfire	1007	
39	脑洞	啊——呃！	brainHole	1008	
100	灰烬	毫无用处,连当柴烧的资格都没有!	ashes	0	
200	残渣	毫无用处，连当柴烧的资格都没有！	wrong	0	
