#id	endId
1_1	100
1_2	7
1_3	36
1_4	11
1_5	100
1_6	18
1_7	5
1_8	100
1_9	100
1_10	100
1_11	100
1_12	100
1_13	100
1_14	100
1_15	100
1_17	100
1_18	100
1_19	100
1_20	100
1_21	100
1_23	100
1_24	100
1_25	100
1_26	200
1_27	6
1_28	100
1_36	200
2_1	7
2_2	100
2_3	27
2_4	17
2_5	100
2_6	100
2_7	100
2_8	100
2_9	100
2_10	100
2_11	100
2_12	100
2_13	100
2_14	100
2_15	100
2_17	100
2_18	100
2_19	100
2_20	100
2_21	100
2_23	100
2_24	35
2_25	100
2_26	200
2_27	100
2_28	100
2_36	37
3_1	36
3_2	27
3_3	100
3_4	26
3_5	100
3_6	100
3_7	100
3_8	100
3_9	200
3_10	200
3_11	200
3_12	100
3_13	39
3_14	39
3_15	100
3_17	100
3_18	200
3_19	100
3_20	100
3_21	200
3_23	100
3_24	200
3_25	100
3_26	200
3_27	100
3_28	100
3_36	100
4_1	11
4_2	17
4_3	26
4_4	100
4_5	23
4_6	100
4_7	10
4_8	100
4_9	100
4_10	200
4_11	100
4_12	100
4_13	25
4_14	100
4_15	100
4_17	200
4_18	200
4_19	100
4_20	100
4_21	200
4_23	100
4_24	200
4_25	100
4_26	200
4_27	100
4_28	100
4_36	100
5_1	100
5_2	100
5_3	100
5_4	23
5_5	100
5_6	8
5_7	200
5_8	100
5_9	100
5_10	100
5_11	100
5_12	200
5_13	100
5_14	34
5_15	100
5_17	100
5_18	100
5_19	100
5_20	200
5_21	100
5_23	200
5_24	100
5_25	100
5_26	100
5_27	100
5_28	100
5_36	100
6_1	18
6_2	100
6_3	100
6_4	100
6_5	8
6_6	100
6_7	100
6_8	100
6_9	200
6_10	200
6_11	12
6_12	100
6_13	100
6_14	100
6_15	100
6_17	100
6_18	100
6_19	100
6_20	200
6_21	100
6_23	100
6_24	100
6_25	100
6_26	15
6_27	100
6_28	100
6_36	100
7_1	5
7_2	100
7_3	100
7_4	10
7_5	200
7_6	100
7_7	100
7_8	100
7_9	100
7_10	100
7_11	100
7_12	100
7_13	100
7_14	100
7_15	21
7_17	100
7_18	100
7_19	200
7_20	200
7_21	100
7_23	100
7_24	200
7_25	100
7_26	100
7_27	100
7_28	100
7_36	100
8_1	100
8_2	100
8_3	100
8_4	100
8_5	100
8_6	100
8_7	100
8_8	100
8_9	100
8_10	9
8_11	200
8_12	100
8_13	100
8_14	100
8_15	14
8_17	100
8_18	20
8_19	200
8_20	200
8_21	100
8_23	100
8_24	100
8_25	100
8_26	100
8_27	100
8_28	100
8_36	200
9_1	100
9_2	100
9_3	200
9_4	100
9_5	100
9_6	200
9_7	100
9_8	100
9_9	100
9_10	100
9_11	100
9_12	13
9_13	100
9_14	100
9_15	200
9_17	200
9_18	100
9_19	200
9_20	200
9_21	100
9_23	100
